,Exclusion,Inclusion,NCT
48,":            -  Clinically significant cardiovascular, peripheral vascular, cerebrovascular or renal              disease            -  Any clinical condition apart from diabetes Type 2 that affects glycemic control,              examples include diabetes Type 1, liver disease, chronic pancreatitis, endocrine              disease (e.g. pituitary, thyroid, adrenal gland disease), small or large intestine              motility or absorptive disease, active infection, advanced malignant tumor or              bariatric surgery            -  Any concomitant anti-diabetic medication other than metformin, including, but not              limited to, the following classes of medication: insulin, sulfonylureas, glinides,              glitazones, alpha-glucosidase inhibitors, amylin agonists, DPP-4 inhibitors, and GLP-1              agonists            -  Any concomitant steroid, hormonal, anorexic or other medications that could              significantly interfere with glycemic control in subjects            -  Lactating or pregnant women, or women of child-bearing potential unable to use              adequate birth control.            -  History or patient reported illicit drug abuse or alcoholism            -  Participation in another clinical study one month preceding recruitment            -  Any of the following laboratory abnormalities: AST or ALT > 1.5 times upper limit              normal on liver function test, glomerular filtration rate < 60 (mL/min/1.73 m2) on              chemistry panel measured by MDRD criteria, and hemoglobin < 10 g/dL on complete blood              count",":            -  Written informed consent prior to any trial-related activity            -  Male or female, between 25-75 years of age            -  A diagnosis of Type 2 Diabetes for at least one year prior to screening visit            -  Stable daily dose of metformin (up to 1.7 g daily) for at least 3 months prior to              screening visit            -  Body Mass Index (BMI) between 25 and 35            -  HbA1c between 6.5% and 9.0%            -  Fasting blood glucose < 180 mg/dL          ",NCT02135549
49,,p,NCT00694278
50,":            -  Be immunodeficient or have clinically significant chronic lymphopenia: (Leukopenia (<              3,000 leukocytes /µL), neutropenia (<1,500 neutrophils/µL), lymphopenia (<800              lymphocytes/µL), or thrombocytopenia (<100,000 platelets/µL).            -  Have active signs or symptoms of acute infection at the time of randomization            -  Have evidence of prior or current tuberculosis infection as assessed by purified              protein derivative (PPD), interferon gamma release assay (IGRA) or by history            -  Be currently pregnant or lactating, or anticipate getting pregnant within the two year              study period            -  Require use of other immunosuppressive agents including chronic use of systemic              steroids            -  Have evidence of current or past human immunodeficiency virus (HIV), Hepatitis B or              Hepatitis C infection            -  Have any complicating medical issues or abnormal clinical laboratory results that may              interfere with study conduct, or cause increased risk to include pre-existing cardiac              disease, chronic obstructive pulmonary disease (COPD), sickle cell disease,              neurological, or blood count abnormalities            -  Have a history of malignancies other than skin            -  Evidence of liver dysfunction with aspartate aminotransferase (AST) or alanine              transaminase (ALT) greater than 3 times the upper limits of normal            -  Evidence of renal dysfunction with creatinine greater than 1.5 times the upper limit              of normal            -  Vaccination with a live virus within the last 6 weeks            -  Current or ongoing use of non-insulin pharmaceuticals that affect glycemic control              within prior 7 days of screening            -  Active participation in another T1D treatment study in the previous 30 days            -  Prior treatment with abatacept or anti-cd3            -  Known allergy to GCSF or ATG            -  Prior treatment with ATG or known allergy to rabbit derived products            -  Any condition that in the investigator's opinion may adversely affect study              participation or may compromise the study results",":            -  Must be > 12 years < 46            -  Must have a diagnosis of T1D for less than 100 days at randomization            -  Willing to provide Informed Consent or have a parent or legal guardian provide              informed consent if the subject is <18 years of age            -  Positive for at least one islet cell autoantibody; glutamic acid decarboxylase 65              (GAD65A), Insulin micro IAA (mIAA), if obtained within 10 days of the onset of insulin              therapy, islet antigen 2 (IA-2A), Islet Cell Antigen (ICA), or zinc transporter 8              (ZnT8A)            -  Must have stimulated C-peptide levels = 0.2 pmol/ml measured during a mixed meal              tolerance test (MMTT) conducted at least 21 days from diagnosis of diabetes and within              one month (37 days) of randomization            -  Must be Epstein-Barr virus (EBV PCR) negative within two weeks of randomization if EBV              seronegative at screening            -  Be at least 6 weeks from last live immunization            -  Participants are required to receive killed influenza vaccination at least 2 weeks              prior to randomization when vaccine for the current or upcoming flu season is              available            -  Be willing to forgo vaccines during the treatment period and for 3 months following              last dose of study drug            -  Be willing to comply with intensive diabetes management          ",NCT02215200
51,":            1. Any chronic disease (leukemia, asthma, inflammatory bowel disease, cystic fibrosis,              juvenile rheumatoid arthritis, etc that directly, or as a result of treatment,              directly or indirectly affect glucose homeostasis).            2. Hemoglobin less than 12 g/dl            3. Lack of a supportive family environment            4. Positive pregnancy test based on serum beta HCG in menstruating young women            5. Evidence or history of chemical abuse            6. HbA1c more than 8.5 %            7. Weight less than 50 Kg            8. History of gastroparesis and on medications that alter gastric emptying            9. History of Pancreatitis and impaired renal function           10. Hypoglycemic unawareness           11. History of sensitivity to 5-HT3 receptor antagonists           12. History of QT prolongation           13. Concomitant use of both Acetaminophen and vitamin C           14. Patients on glucocorticoid therapy           15. Known allergies to any of the study medication",":            1. Age greater than 18 years and less than 30 years.            2. Have had diabetes for at least 1 year, and in good control (HbA1C less than 8.5 %).            3. Be on continuous subcutaneous insulin infusion using an insulin pump            4. Subjects must be otherwise healthy except for T1DM, and treated for hypothyroidism if              present            5. Menstruating women must have negative pregnancy test.            6. Hemoglobin (Hb) more than 12 g/dl            7. Weight must be equal to or greater than 50 Kg          ",NCT01269008
52,":            -  Have type 1 diabetes mellitus            -  Have been treated with ANY other OAMs (other than SGLT2 inhibitors and metformin),              glucagon-like peptide-1 receptor agonist (GLP-1 RA), pramlintide or insulin 3 months              prior to study entry, or between study entry and randomization; or initiate metformin              between study entry and randomization; short-term use of insulin for acute care (≤14              days) during the 3-month period prior to entry is not exclusionary            -  Have any condition that is a contraindication for use of the GLP-1 RA class or the              SGLT2 inhibitor class (per country-specific labels) at study entry or develop such              condition between study entry and randomization            -  Have acute or chronic hepatitis, signs and symptoms of any other liver disease other              than nonalcoholic fatty liver disease (NAFLD), or alanine transaminase (ALT) level              >2.5 times the upper limit of the reference range, as determined by the central              laboratory at study entry; participants with NAFLD are eligible for participation in              this trial            -  Had chronic or acute pancreatitis any time prior to study entry            -  Estimated glomerular filtration rate (eGFR) <45 milliliters(mL)/minute/1.73m^2,              calculated by the Chronic Kidney Disease-Epidemiology (CKD-EPI) equation, as              determined by the central laboratory at study entry and confirmed at lead in            -  Have any self or family history of type 2A or type 2B multiple endocrine neoplasia              (MEN 2A or 2B) in the absence of known C-cell hyperplasia (this exclusion includes              participants with a family history of MEN 2A or 2B, whose family history for the              syndrome is rearranged during transfect [RET]- negative; the only exception for this              exclusion will be for participants whose family members with MEN 2A or 2B have a known              RET mutation and the potential participant for the study is negative for the RET              mutation)            -  Have any self or family history of medullary C-cell hyperplasia, focal hyperplasia,              carcinoma (including sporadic, familial, or part of MEN 2A or 2B syndrome)            -  Have a serum calcitonin ≥20 picograms/mL as determined by the central laboratory at              study entry",":            -  Have type 2 diabetes mellitus (based on the World Health Organization's [WHO]              diagnostic criteria)            -  Have been treated with an SGLT2 inhibitor, with or without metformin, for at least 3              months prior to study entry (minimum required doses for that period for allowed SGLT2              inhibitors: empagliflozin 10 mg, dapagliflozin 5 or 10 mg [per country-specific              label], canagliflozin 100 mg); minimum required dose for metformin, if used, is ≥1500              mg/day and must be reached (or highest tolerated dose which is acceptable with              documented gastrointestinal [GI] intolerability)            -  Daily doses of all allowed oral antihyperglycemia agent (OAMs) must have been stable              for at least 12 weeks (±3 days) prior to randomization (study enrollment); daily doses              of SGLT2 inhibitor and metformin, if used, will be considered stable during this              period if:                 -  all prescribed daily doses were in the range between the minimum required dose                   and maximum-approved dose per country-specific label; and                 -  >90% of prescribed daily doses were equal to the dose at randomization            -  Have HbA1c ≥7.0% and ≤9.5% at study entry and approximately 1 week prior to              randomization            -  Have body mass index (BMI) ≤45 kilograms per meter squared (kg/m^2) and agree to not              initiate a diet and/or exercise program during the study with the intent of reducing              body weight other than the lifestyle and dietary measures for diabetes treatment          ",NCT02597049
53,":            1. Type 1 diabetes for less than 12 months;            2. Coronary event or procedure (myocardial infarction, unstable angina, coronary artery              bypass, surgery or coronary angioplasty) in the previous four weeks;            3. Hepatic disease (transaminase > 3 times normal) or cirrhosis;            4. Renal impairment (serum creatinine > 1.5);            5. HIV or Hepatitis C positive status;            6. Participation in any other concurrent clinical trial;            7. Any other life-threatening, non-cardiac disease;            8. Use of an investigational agent or therapeutic regimen within 30 days of study.            9. history of pancreatitis           10. pregnancy           11. inability to give informed consent           12. history of gastroparesis           13. history of medullary thyroid carcinoma or MEN 2 syndrome.           14. Family history of MEN 2, Family history of medullary thyroid cancer, or familial              medullary thyroid cancer           15. Women of childbearing potential who are not using adequate contraception 16) Women who              are pregnant",:            1. Patients with type 1 diabetes mellitus: Fasting c-peptide < 0.1nmol/l on insulin              therapy for more than 12 months with or without history of diabetic ketoacidosis.            2. Using a continuous glucose monitoring device (CGM) and regularly measuring their blood              sugars four times daily            3. HbA1c of less than 8.5%.            4. Well versed with carbohydrate counting            5. Age 18-75 years          ,NCT01722266
54,":            -  Brain disease that affects cognition (e.g. Parkinson's disease, schizophrenia).            -  Stroke            -  Epilepsy            -  Chest pathology incompatible with HBOT            -  Inner ear disease            -  Claustrophobia            -  Cholinesterase inhibitors            -  Subjects with an indication for HBOT            -  Counter-indication for MRI or PET",:            -  Diagnosis of T2D            -  Diagnosis of MCI            -  > the age of 65            -  Hebrew fluency            -  An informant          ,NCT03036254
55,:            1. Having any other chronic condition except hypothyroidism stable on medications            2. On chronic medications that may affect glucose excursions            3. Hemoglobin less than 12 g/dl            4. Positive pregnancy test (based on Urine)            5. Pregnant or lactating mothers            6. Known allergy to Januvia,":            1. Age of 13 to 30 years            2. Subjects must be otherwise healthy except for T1DM, and treated for hypothyroidism if              present            3. Menstruating women must have negative pregnancy test.            4. Hemoglobin (Hb) more than 12 g/dl          ",NCT01530178
56,":            -  Female who is pregnant, breast-feeding or intends to become pregnant or is of              child-bearing potential and not using an adequate contraceptive method (adequate              contraceptive measure as required by local regulation or practice).For certain              specific countries: Additional specific requirements apply            -  Any disorder, which in the investigator's opinion might jeopardise subject's safety or              compliance with the protocol            -  Family or personal history of Multiple Endocrine Neoplasia Type 2 or Medullary Thyroid              Carcinoma            -  History of pancreatitis (acute or chronic)            -  History of major surgical procedures involving the stomach potentially affecting              absorption of trial product (e.g. subtotal and total gastrectomy, sleeve gastrectomy,              gastric bypass surgery)            -  Any of the following: myocardial infarction, stroke or hospitalisation for unstable              angina or transient ischaemic attack within the past 180 days prior to the day of              screening and randomisation            -  Subjects presently classified as being in New York Heart Association Class IV            -  Planned coronary, carotid or peripheral artery revascularisation known on the day of              screening            -  Subjects with alanine aminotransferase above 2.5 x upper normal limit            -  Rapidly progressing renal disease (e.g. such as acute glomerulonephritis) as judged by              the investigator or known nephrotic albuminuria (above 2200 mg/24 hours or above 2200              mg/g)            -  Use of systemic immunosuppressive treatment within 90 days prior to screening            -  Treatment with any medication for the indication of diabetes or obesity other than              stated in the inclusion criteria in a period of 90 days before the day of screening.              An exception is short-term insulin treatment for acute illness for a total of below or              equal to 14 days            -  Known hypoglycaemic unawareness and/or recurrent severe hypoglycaemic episodes as              judged by the investigator            -  Proliferative retinopathy or maculopathy requiring acute treatment. Verified by fundus              photography or dilated fundoscopy performed within 90 days prior to randomisation            -  History or presence of malignant neoplasms within the last 5 years (except basal and              squamous cell skin cancer and carcinoma in situ)",":            -  Informed consent obtained before any trial-related activities. Trial-related              activities are any procedures that are carried out as part of the trial, including              activities to determine suitability for the trial            -  Male or female, age above or equal to 18 years at the time of signing informed consent            -  Diagnosed with type 2 diabetes mellitus for at least 90 days prior to day of screening            -  HbA1c (glycosylated haemoglobin) of 7.0-9.5% (53-80 mmol/mol) (both inclusive)            -  Moderate renal impairment defined as estimated glomerular filtration rate of 30-59              mL/min/1.73 m^2 as per Chronic Kidney Disease Epidemiology Collaboration formula            -  Stable daily dose(s) within 90 days prior to the day of screening of any of the              following treatment regimens:- 1-2 of the following oral anti-diabetic drugs: -              Metformin equal or above 1500 mg or maximum tolerated dose documented in the subject              medical record), - Sulfonylurea (equal or above half of the maximum approved dose              according to local label or maximum tolerated dose as documented in subject medical              record) - Basal insulin alone (20% change in total daily dose of insulin glargine,              insulin detemir, insulin degludec or NPH insulin) or - Metformin (equal or above 1500              mg or maximum tolerated dose documented in the subject medical record) in combination              with basal insulin (20% change in total daily dose of insulin glargine, insulin              detemir, insulin degludec or NPH insulin)          ",NCT02827708
57,":            -  < 18 years            -  Previous diagnosis of diabetes            -  BMI <25            -  Fingerstick glucoses outside pre-diabetes level ranges            -  Currently pregnant            -  On medications that may raise or lower blood glucose            -  Cognitive or physical impairment that would preclude comprehension of a conversation              and communicating as part of a group (i.e., dementia, deafness, inability to speak)            -  Self-reported terminal illness with life expectancy of less than 1 year            -  Plans to relocate from New York City within one year of enrollment",":            -  18 years of age and older            -  Residents of East Harlem or members of an East Harlem Institution in zip codes 10029,              10035, OR in the section of 10037 east of Fifth Avenue            -  BMI ≥ 25 AND pre-diabetes glucose values, defined as fasting fingerstick glucose of              100-125mg/dl and/or glucose 2 hours after an oral glucose load of 140-199 mg/dl            -  Able to communicate verbally to participate in a group education class            -  English or Spanish speaking          ",NCT01004848
58,":            -  Too high blood pressure when you enter the study            -  Some specific medicines used to treat high blood pressure or diabetic kidney disease            -  Frequent high blood glucose levels            -  Renal transplant or past history of dialysis            -  Nonsteroidal anti-inflammatory drugs (NSAIDs)            -  Had a special X-ray in the past 30 days which involved also receiving an injection of              dye into the vein            -  Major surgery within 8 weeks of study entry or will require major surgery during the              study            -  Some types of vaccination            -  Shingles or currently have symptoms of a cold sore            -  Serious viral, bacterial, fungal, or parasitic infection, or a urinary infection,              Tuberculosis (TB)            -  Human immunodeficiency virus (HIV) infection- the virus that causes Acquired              immunodeficiency syndrome (AIDS)            -  Have or had some blood disorders, enlarged lymph glands or spleen, or some cancers.            -  Serious circulatory, breathing, liver, stomach or bowel problems, neurological or              psychiatric disorders            -  Heart attack or heart failure, or a stroke            -  Other serious disorders or illnesses            -  Electrocardiogram (ECG) heart trace abnormalities            -  Alcohol or illegal drug abuse            -  Donated more than 500 mL of blood in the last 30 days (no blood donations allowed              during the study)            -  Pregnant or breastfeeding",:            -  Participants with Type 2 diabetes treated with at least one antihyperglycemic medicine              for 12 months            -  Have diabetic kidney disease and receiving one of two specific medicines used to treat              high blood pressure or diabetic kidney disease for at least 3 months            -  Estimated Glomerular Filtration Rate (eGFR) of 25 to 70 milliliter per minute per 1.73              square meter (mL/min/1.73 m²) (as determined by the Chronic Kidney Disease              Epidemiology Collaboration equation) and a urinary albumin/creatinine ratio (UACR)              >300 milligram per gram (mg/g) and <5000 mg/g          ,NCT01683409
59,":            -  Type 1 diabetes mellitus.            -  Treated with Gemfibrozil within 90 days of screening.            -  Previous history of cancer, other than basal cell carcinoma, that has not been in              remission for at least 5 years prior to the first dose of study drug.            -  The subject has an alanine aminotransaminase level of greater than 2.5 times the upper              limit of normal, active liver disease, or jaundice.            -  Male subjects who have serum creatinine greater than 2.0 mg per dL and female subjects              with serum creatinine greater than1.8 mg per dL.            -  Unexplained microscopic hematuria greater than plus 1 confirmed by repeat testing.            -  Male subjects who have hemoglobin less than 10.5 g per dL and female subjects who have              hemoglobin less than 10.0 g per dL.            -  Significant cardiovascular disease including, but not limited to, New York Heart              Association Functional (Cardiac) Classification III or IV            -  Currently is participating in another investigational study or has participated in an              investigational study within the past 30 days.            -  Any other serious disease or condition that might affect life expectancy or make it              difficult to successfully manage and follow the subject according to the protocol.            -  Is required to take or continues taking any disallowed medication, prescription              medication, herbal treatment or over-the counter medication that may interfere with              evaluation of the study medication, including:                 -  Glucocorticoids (eg. prednisone, cortisone, hydrocortisone, dexamethasone) with                   the exception of a topical glucocorticoid agent.                 -  Gemfibrozil                 -  Steroid-joint injections.                 -  Thiazolidinediones with the exception of the study medication.",":            -  Diagnosed with type 2 diabetes mellitus            -  Females of childbearing potential who are sexually active must agree to use adequate              contraception, and can neither be pregnant nor lactating from Screening throughout the              duration of the study            -  Has been taking a stable dose of rosiglitazone for greater than 90 days prior to              screening.            -  Has a triglyceride level greater than 200 mg per dL but less than 1000 mg per dL.            -  Has been taking a stable statin therapy for greater than 90 days prior to screening.            -  Has a glycosylated hemoglobin less than 10.5%.          ",NCT00672919
60,":            1. History or presence of a medical condition or disease that in the Investigator's              opinion would place the patient at an unacceptable risk from trial participation.            2. History of clinically significant (i.e., significant enough to alter the insulin dose              requirement, as per the Investigator) acute bacterial, viral or fungal systemic              infections in the 4 weeks prior to inclusion / randomization (recorded while              collecting patient history) in to the MYL-1501D-3003 extension study            3. Patients scheduled to receive another investigational drug during the extension study              period            4. Any major elective surgery requiring hospitalization planned during the extension              study period.            5. Moderate insulin resistance, defined as requiring insulin (Basal + Prandial) of ≥1.5              U/kg/day (Lantus® in U/kg/day or Mylan's insulin glargine in IU/kg/day).",":            1. Patients who have completed the 52-week treatment period (irrespective of their age at              the completion of MYL-GAI-3001 trial) of the MYL-GAI-3001 trial and were assigned to              Lantus® in that study.            2. Patients or their legal representatives must give written and signed informed consent              before starting any protocol-specific procedures.            3. The patient is able and willing to comply with the requirements of the extension study              protocol including the 8-point self-monitoring blood glucose, completion of patient              diary records as instructed and following a recommended diet and exercise plan for the              entire duration of the extension study.            4. Female patients complying with the following:                 -  Female patients of childbearing potential must be using oral contraception or two                   other acceptable methods of contraception, (e.g., intra-uterine device plus                   condom, spermicidal gel plus condom, diaphragm plus condom, etc.) from the time                   of randomization throughout the entire study.                 -  Periodic abstinence (e.g., calendar, ovulation, symptothermal, post-ovulation                   methods) and withdrawal are not acceptable methods of contraception.                 -  Postmenopausal females must have had no menstrual bleeding for at least 1 year                   prior to inclusion in MYL-GAI-3001 study.                 -  Female patients who report surgical sterilization must have had the procedure at                   least 6 months prior to inclusion to MYL-GAI-3001 study.                 -  All female patients of childbearing potential, must have negative pregnancy test                   results at baseline (week 0) and at each clinic visit as per the SCHEDULE OF                   ACTIVITIES.                 -  If female patients have male partners who have undergone vasectomy, the vasectomy                   must have occurred more than 6 months prior to inclusion in MYL-GAI-3001 study.          ",NCT02666430
61,:            -  COPD            -  Asthma            -  Smoking Pregnancy,:            -  Type 2 diabetes mellitus          ,NCT00136916
62,":            1. Has received any investigational medication within 30 days prior to Screening or any              investigational antidiabetic medication or excluded medications within 3 months prior              to Screening.            2. Has been randomized into a previous TAK-875 study.            3. Is an immediate family member, study site employee, or is in a dependant relationship              with a study site employee who is involved in conduct of this study (eg, spouse,              parent, biological or legally adopted child, or sibling) or may consent under duress            4. Is diagnosed with type 1 diabetes mellitus or latent autoimmune diabetes in adults.            5. Is hemodynamically unstable, including severe heart failure (New York Heart              Association Class IV) at Screening.            6. Is hospitalized at the Screening Visit for the event associated with the CV inclusion              criteria. (Patients who have been discharged from an acute hospital to a cardiac              rehabilitation center or nursing home at the time of the Screening Visit or              Randomization Visit are not excluded).            7. Has ALT and/or AST levels >3.0x ULN at Screening.            8. Has a total bilirubin level >ULN at Screening. Exception: if a patient has documented              Gilbert's Syndrome, the patient will be allowed with an elevated bilirubin level per              the investigator's discretion.            9. Has an glomerular filtration rate (estimated) (eGFR) ≤ 15 mL/min/1.73m2 based on              Modification of Diet in Renal Disease (MDRD) calculation at Screening and is currently              on dialysis or expected to start dialysis within the next 6 months.           10. Has uncontrolled thyroid disease, as determined by the investigator and/or clinical              investigation.           11. Has a known history of infection with human immunodeficiency virus (HIV).           12. Has a known active infection with Hepatitis B virus (HBV), or Hepatitis C virus (HCV)              requiring antiviral treatment.           13. Has a history of drug abuse (defined as illicit drug use) or a history of alcohol              abuse within 2 years prior to Screening.           14. Has any major illness or condition that, in the investigator's opinion, prohibits the              patient from participating in the study or meeting the planned visit schedule.           15. Has a history of hypersensitivity, allergies, or has had an anaphylactic reaction(s)              to TAK-875.           16. If female, is pregnant (confirmed by laboratory testing, ie, serum or urine human              chorionic gonadotropin (hCG), in females of childbearing potential) or lactating or              intending to become pregnant before, during, or within 30 days after participating in              this study; or intending to donate ova during such time period.           17. Is unable to understand verbal or written English or any other language for which a              certified translation of the approved informed consent is available.           18. Has a history of cancer that has been in remission for <5 years prior to Screening. A              history of basal cell carcinoma or Stage 1 squamous cell carcinoma of the skin is              allowed.",":            1. In the opinion of the investigator, the patient is capable of understanding and              complying with protocol requirements, including scheduled clinic appointments.            2. The patient or, when applicable, the patient's legally acceptable representative signs              and dates a written, informed consent form and any required privacy authorization              prior to the initiation of any study procedures.            3. Has a diagnosis of type 2 diabetes mellitus.            4. Has an glycosylated hemoglobin (HbA1c) level between 7.0% and 10.5%, inclusive, at              Screening. HbA1c testing may be repeated once during Screening.            5. Meets at least one (1) of the following three (3) High Risk Categories (a-c ):                 1. A documented history of myocardial infarction (MI) occurring no less than 2                   months (60 days) and no greater than 24 months prior to Screening.                 2. Documented symptomatic peripheral arterial disease (PAD) (at least one (1) of the                   following three (3) criteria must be satisfied): i) Current intermittent                   claudication together with documented ankle-brachial index ≤0.85. ii) History of                   previous vascular intervention for intermittent claudication or resting limb                   ischemia (example: amputation for arterial disease, peripheral bypass, or history                   of angioplasty/stenting). iii) History of symptomatic carotid artery disease                   (requiring revascularization with carotid endarterectomy (CEA) or stenting).                 3. Documented cerebrovascular disease (at least one (1) of the following two (2)                   criteria must be satisfied): i) A history of transient ischemic attack (TIA)                   confirmed by a neurologist no greater than 24 months prior to screening and                   clinically and neurologically stable at randomization. ii) A history of ischemic                   stroke (IS) (with a Modified Rankin Scale Score ≤3 documented prior to                   Randomization) not less than 2 months (60 days) and no greater than 24 months                   prior to Screening, and clinically and neurologically stable at Randomization.                   The Modified Rankin Scale is located in appendix in protocol.                    Or meets at least one (1) of the following five (5) Intermediate Risk Categories                   (d-h):                 4. Stable angina with coronary disease documented by the presence of inducible                   ischemia or scar by stress myocardial perfusion imaging (MPI), echocardiogram or                   magnetic resonance imaging (MRI) in the past 24 months.                 5. Multi vessel coronary disease, based on coronary angiography, with or without                   angina, documented by >50% diameter stenosis in at least 2 of the 3 major                   coronary distributions.                 6. A history of percutaneous coronary intervention (PCI) or coronary artery bypass                   grafting (CABG) at least 2 months prior to Screening.                 7. The subject has diabetic nephropathy plus (2) of the clinical criteria listed                   below (i. to vi.). Diabetic nephropathy is defined as either urinary albumin                   excretion ≥ 30 µg/mg creatinine (3.4 mg/mmol creatinine) (based on a random spot                   collection) or urinary albumin excretion ≥ 30 mg/24h (based on a 24 h or timed                   collection). Results must be confirmed on at least two specimens collected within                   12 months prior to Screening and no more than 6 months apart: i)Duration of                   diabetes ≥ 10 years on pharmacological treatment documented within medical                   records. ii) Confirmed systolic blood pressure (SBP) ≥150 mm Hg on 2 separate                   days during Screening despite treatment with at least 2 anti-hypertensive                   medications administered at doses considered optimal by local standard of care.                   iii) Presence of dyslipidemia as defined by any one (1) of the following                   confirmed at screening: A. Low density lipoprotein (LDL) > 100 mg/dl (2.59                   mmol/L) while on statin therapy administered at maximum tolerated dose or optimal                   dose based on local standard of care for at least 4 weeks prior to screening. B.                   LDL > 130 mg/dL (3.37 mmol/L) when not on statin therapy. C. High density                   lipoprotein (HDL) < 40 mg/dL (1.04 mmol/L) in males or < 45 mg/dL (1.17 mmol/L)                   in females. D. Fasting Triglyceride >200 mg/dL(2.26 mmol/L). iv) Currently                   smoking >10 cigarettes per day at Screening. v) Male ≥65 years of age or female                   ≥70 years of age. vi) Highly selective C-reactive protein (hs-CRP) > 2.0 mg/L in                   the absence of intercurrent infection or acute process.               h.) The subject meets at least five (5) of the following clinical criteria: i.)              Duration of diabetes ≥10 years on pharmacological treatment documented within medical              records. ii) Confirmed systolic blood pressure (SBP) ≥150 mm Hg on 2 separate days              during Screening despite treatment with at least 2 anti-hypertensive medications              administered at doses considered optimal by local standard of care. iii) Presence of              dyslipidemia as defined by any one (1) of the following confirmed at screening: A. Low              density lipoprotein (LDL) > 100 mg/dl (2.59 mmol/L) while on statin therapy              administered at maximum tolerated dose or optimal dose based on local standard of care              for at least 4 weeks prior to screening. B. LDL > 130 mg/dL (3.37 mmol/L) when not on              statin therapy. C. High density lipoprotein (HDL) < 40 mg/dL (1.04 mmol/L) in males or              < 45 mg/dL (1.17 mmol/L) in females. D. Fasting Triglyceride >200 mg/dL(2.26 mmol/L).              iv) Currently smoking >10 cigarettes per day at Screening. v) Male ≥65 years of age or              female ≥70 years of age. vi) Highly selective C-reactive protein (hs-CRP) > 2.0 mg/L              in the absence of intercurrent infection or acute process.            6. Is able and willing to monitor glucose with a home glucose monitor and consistently              record his or her own blood glucose concentrations in patient diaries.            7. A female of childbearing potential who is sexually active with a non-sterilized male              partner agrees to routinely use adequate contraception from signing of informed              consent throughout the duration of the study and for 30 days after the last dose of              study drug.            8. Subjects with alanine aminotransferase (ALT) or aspartate aminotransferase (AST) ≤3x              upper limit of normal (ULN) and if ALT or AST elevated above ULN, have chronic,              well-compensated liver disease documented by usual clinical parameters.          ",NCT01609582
63,":            -  Severe congestive heart failure (class III or IV according to New York Heart              Association [NYHA] or pulmonary edema)            -  Prior CABG surgery            -  Prior valve surgery            -  Prior PCI with stent implantation within 6 months of study entry            -  Stroke within 6 months of study entry; if stroke occurred more than 6 months prior to              study entry, must have significant residual neurologic involvement, as reflected in a              Rankin Score of greater than 1            -  Prior history of significant bleeding (within 6 months of study entry) that may occur              during CABG or PCI/DES related anticoagulation            -  In-stent restenosis of a target vessel            -  Two or more chronic total occlusions in major coronary territories            -  Left main stenosis (at least 50% diameter stenosis)            -  Acute ST-elevation MI (Q-wave) within 72 hours of study entry requiring              revascularization            -  Abnormal creatine kinase level (greater than twice the normal limit); or abnormal              CK-MB level at study entry            -  Planned simultaneous surgical procedure unrelated to coronary revascularization (e.g.,              valve repair/replacement, aneurysmectomy, carotid endarterectomy, or carotid stent)            -  Cannot undergo either CABG or PCI/DES because of a coexisting medical condition            -  Significant leukopenia, neutropenia, thrombocytopenia, anemia, or known bleeding              diathesis            -  Intolerance to aspirin or both clopidogrel and ticlopidine            -  Dementia with a score of less than 20 on the Mini Mental Status Examination (MMSE)            -  Extra-cardiac illness that is expected to limit survival to less than 5 years (e.g.,              oxygen-dependent chronic obstructive pulmonary disease, active hepatitis, significant              hepatic failure, or severe kidney disease)            -  Pregnant            -  Currently enrolled in another clinical trial            -  Unable to attend required follow-up visits",":            -  Diabetes mellitus (Type 1 or Type 2), defined according to the American Diabetes              Association as either:                 1. presence of classic symptoms of diabetes mellitus with unequivocal elevation of                   plasma glucose (2-hour post-prandial or random of greater than 200 mg/dL                   (11mmol/L) or                 2. fasting plasma glucose elevation on more than one occasion of at least 126 mg/dL                   (7mmol/L)            -  Currently undergoing pharmacological or non-pharmacological treatment for diabetes            -  Angiographically confirmed multivessel CAD [critical (greater than or equal to 70%)              lesions in at least two major epicardial vessels and in at least two separate coronary              artery territories (LAD, LCX, RCA)] amenable to either PCI or CABG            -  Angiographic characteristics amendable to both PCI/DES and CABG            -  Indication for revascularization based upon symptoms of angina and/or objective              evidence of myocardial ischemia          ",NCT00086450
64,:            -  History of known hypersensitivity to any of the components in the study medication            -  Treatment with pramlintide or GLP-1 analogs within 30 days of screening or anticipated              use of these medications during the course of the study.            -  Treatment with oral or intravenous corticosteroids in the last 3 months prior to              screening. Standard doses of inhalational corticosteroid used as part of a long term              treatment regimen are allowed.            -  Consistent recent hypoglycemic unawareness within the last six months            -  History of more than two severe hypoglycemic events within six months prior to              screening,":            -  Established clinical diagnosis of type 1 diabetes, consistent with ADA classification              criteria (Diabetes Care 35: S64-S71, 2012), for more than 1 year.            -  Age: 18 years old, or older.            -  Body Mass Index: between 18 and 35 kg/m2, inclusive.            -  Willing to use insulin glargine as the only basal insulin throughout the duration of              the trial.            -  Willingness not to use insulin pump treatment and only use the study glucose meter and              CGM devices during the duration of the trial.          ",NCT01686620
